PST,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
4/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,66,58.03,0,0,12.36,32.21,10
4/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,66,59.61,0,0,10.13,16.55,9.91
4/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,57,55.4,0.43,66.67,12.24,16.33,9.2
4/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",47,62,55.11,0.03,8.33,13.32,34,10
4/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,64,57.9,0.04,12.5,13.12,15.66,9.85
4/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",49,70,59.76,0,0,9.59,15.66,9.87
4/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,84,67.42,0,0,4.87,0,10
4/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,87,73.43,0,0,5,0,10
5/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,84,71.67,0,0,7.23,16.33,10
5/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,72,61.52,0,0,10.71,0,10
5/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,66,59.55,0,0,16.79,16.78,10
5/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,67,61.25,0,0,13.71,0,10
5/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,66,60.19,0,0,18.69,35.57,10
5/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,67,59.04,0,0,15.02,16.33,10
5/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",51,63,57.09,0,0,14.3,18.12,10
5/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,64,59.84,0.04,12.5,10.3,0,9.57
5/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,67,60.08,0,0,16.39,34.45,9.94
5/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,68,59.85,0,0,16.61,30.42,10
5/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,74,64.82,0,0,13.09,32.21,10
5/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,81,66.49,0,0,6.79,15.88,10
5/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,90,72.32,0,0,5.69,0,9.98
5/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,90,74.8,0,0,7.04,0,10
5/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,81,69.82,0,0,8.33,16.33,10
5/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,70,61.85,0,0,13.89,18.12,10
5/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,66,60.33,0,0,14.36,18.57,10
5/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,68,61.86,0,0,18.16,33.33,10
5/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,67,61,0,0,17.93,16.33,10
5/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,70,61.12,0,0,12.74,0,10
5/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,70,60.85,0,0,11.22,0,9.98
5/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,68,60.06,0,0,11.43,0,9.98
5/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,67,60.3,0,0,11.1,0,10
5/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,66,59.99,0,0,12.56,0,10
5/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,72,63.3,0,0,12.41,18.12,10
5/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,72,62.99,0,0,14.73,20.8,9.98
5/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,66,60.66,0,0,13.3,18.12,10
5/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,72,62.67,0,0,13.26,16.33,10
5/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,76,63.02,0,0,8.96,0,10
5/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,64,57.51,0,0,12.91,16.78,9.9
5/31/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,68,58.68,0,0,10.39,0,10
6/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,71,59.02,0,0,9.95,16.55,9.56
6/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",52,65,58.5,0,0,10.71,0,10
6/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,66,58.94,0,0,10.84,0,10
6/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,69,59.47,0,0,9.54,0,9.72
6/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,68,60.16,0,0,10.64,0,9.54
6/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,68,60.19,0,0,10.54,0,9.89
6/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,68,60.66,0,0,9.07,0,9.49
6/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,86,68.55,0,0,8.96,0,9.53
6/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,75,66.09,0,0,10.89,14.76,9.69
6/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,70,62.98,0,0,9.94,0,9.98
6/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,71,64.41,0,0,11.39,0,10
6/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,65,59.53,0,0,15.32,0,10
6/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,72,63.17,0,0,11.62,16.78,10
6/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,80,63.84,0,0,9.61,14.76,10
6/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,67,59.28,0,0,14.46,22.59,9.79
6/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,64,59.16,0,0,15.48,20.36,10
6/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",53,72,62.38,0,0,9.03,14.76,10
6/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,83,66.49,0,0,8.86,15.21,10
6/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,68,61.06,0,0,11.79,0,9.98
6/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,73,63.7,0,0,11.58,17.45,10
6/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,64,59.25,0,0,10.31,16.78,10
6/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,65,59.93,0,0,12.5,29.97,10
6/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,69,61.83,0,0,11.71,16.33,9.98
6/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,69,62.75,0,0,13.54,20.36,10
6/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,68,62.05,0,0,13.44,17,9.94
6/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,71,64.11,0.01,4.17,12.07,0,9.9
6/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,72,64.2,0,0,10.96,0,10
6/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,70,63.14,0,0,13.41,18.57,10
6/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,79,65.92,0,0,10.45,16.33,10
6/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,81,67.54,0,0,9.54,17.67,9.74
7/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,72,63.56,0,0,8.99,0,10
7/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,72,62.45,0,0,11.45,16.33,9.98
7/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,69,61.56,0,0,11.45,0,10
7/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,67,60.1,0,0,10.87,15.66,9.94
7/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,71,60.66,0,0,10.48,16.55,10
7/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",54,69,59.84,0,0,12.94,15.66,10
7/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,68,60.73,0,0,11.01,0,10
7/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,71,62.55,0,0,9.33,0,10
7/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,72,63.88,0,0,8.18,0,9.98
7/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,73,65.58,0,0,10.15,14.76,10
7/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,71,64.65,0,0,13.55,0,10
7/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",56,68,62.75,0,0,13.05,15.21,9.91
7/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",55,68,62.01,0,0,12.29,0,9.56
7/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",57,75,64.67,0,0,9.49,0,9.87
7/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,77,67.48,0,0,9.57,0,10
7/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,75,67.39,0.02,8.33,12.16,0,9.98
7/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,72,66.96,0,0,11.9,14.76,10
7/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,72,66.26,0.01,4.17,11.32,0,10
7/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,72,66.34,0,0,10.7,0,10
7/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,74,66.81,0,0,10.69,15.21,10
7/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",65,74,68.55,0.01,4.17,11.19,0,10
7/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",64,76,68.95,0.04,4.17,9.89,0,10
7/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",65,75,68.89,0,0,10.31,0,10
7/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,82,69.84,0,0,10.74,15.21,10
7/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,89,71.82,0,0,9.16,0,9.76
7/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,75,67.3,0,0,12.15,15.21,9.94
7/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,77,67.04,0,0,11.94,15.21,9.98
7/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,72,65.46,0,0,11.84,0,10
7/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,73,65.55,0,0,12.69,0,10
7/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,72,63.89,0,0,12.88,14.76,10
7/31/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,71,63.79,0,0,11.2,0,9.96
8/1/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,72,64.11,0,0,12.25,0,9.6
8/2/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,67,62.57,0,0,12.41,0,9.98
8/3/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,68,63.66,0,0,11.02,0,10
8/4/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,72,65.32,0,0,9.38,0,10
8/5/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,73,65.85,0,0,9.05,0,10
8/6/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,75,67.38,0.01,4.17,10.59,0,10
8/7/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,69,63.75,0,0,9.45,0,9.91
8/8/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,72,65.01,0,0,11.45,0,9.59
8/9/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",59,68,61.85,0,0,12.85,0,9.83
8/10/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,73,65.17,0,0,8.43,0,10
8/11/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,75,67.1,0,0,8.57,0,10
8/12/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,74,66.96,0,0,10.66,0,10
8/13/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,74,66.31,0,0,11.11,0,10
8/14/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,72,64.64,0,0,10.42,0,10
8/15/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,73,65.55,0,0,10.03,0,9.94
8/16/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,72,64.6,0,0,9.81,0,10
8/17/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",58,70,62.93,0,0,10.88,0,10
8/18/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,68,62.71,0,0,11.1,0,9.9
8/19/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,74,66.09,0,0,8.56,0,9.87
8/20/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,72,66.58,0,0,9.96,0,10
8/21/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,73,66.17,0,0,9.15,0,10
8/22/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,75,65.62,0,0,8.54,0,10
8/23/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,74,65.67,0,0,7.47,0,10
8/24/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,73,65.91,0,0,10.56,0,10
8/25/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",63,72,65.77,0,0,9.61,0,10
8/26/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,73,66.42,0,0,9.94,0,10
8/27/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,75,66.54,0,0,10.38,0,9.94
8/28/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",60,73,64.63,0,0,10.69,0,10
8/29/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,70,64.86,0,0,8.76,0,9.98
8/30/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",61,77,68.59,0,0,11.95,0,10
8/31/14,"san francisco, ca",37.77713,-122.41964,"san francisco, ca",62,75,67.07,0,0,10.24,0,10
